perk_id,pct,history,label
190,29.28,"[{'pct': 29.4, 'count': 7728, 'escape_rate': 41.43, 'end': '2025-08-03'}, {'pct': 24.65, 'count': 5748, 'escape_rate': 42.62, 'end': '2025-06-17'}, {'pct': 19.04, 'count': 5527, 'escape_rate': 39.57, 'end': '2025-05-06'}, {'pct': 27.4, 'count': 14321, 'escape_rate': 38.94, 'end': '2025-04-02'}, {'pct': 25.26, 'count': 11998, 'escape_rate': 38.89, 'end': '2025-01-29'}, {'pct': 26.4, 'count': 9881, 'escape_rate': 38.54, 'end': '2024-11-28'}, {'pct': 23.76, 'count': 8501, 'escape_rate': 37.23, 'end': '2024-10-08'}, {'pct': 27.86, 'count': 7243, 'escape_rate': 38.25, 'end': '2024-08-27'}, {'pct': 28.05, 'count': 22452, 'escape_rate': 35.66, 'end': '2024-07-16'}, {'pct': 23.63, 'count': 19951, 'escape_rate': 39.27, 'end': '2024-06-03'}]",Scourge Hook: Pain Resonance
171,16.44,"[{'pct': 16.02, 'count': 4211, 'escape_rate': 44.35, 'end': '2025-08-03'}, {'pct': 14.53, 'count': 3388, 'escape_rate': 45.95, 'end': '2025-06-17'}, {'pct': 16.99, 'count': 4932, 'escape_rate': 41.05, 'end': '2025-05-06'}, {'pct': 13.3, 'count': 6950, 'escape_rate': 42.7, 'end': '2025-04-02'}, {'pct': 13.58, 'count': 6450, 'escape_rate': 42.53, 'end': '2025-01-29'}, {'pct': 15.46, 'count': 5786, 'escape_rate': 42.44, 'end': '2024-11-28'}, {'pct': 13.06, 'count': 4672, 'escape_rate': 41.29, 'end': '2024-10-08'}, {'pct': 15.21, 'count': 3954, 'escape_rate': 40.53, 'end': '2024-08-27'}, {'pct': 15.74, 'count': 12597, 'escape_rate': 39.03, 'end': '2024-07-16'}, {'pct': 15.59, 'count': 13168, 'escape_rate': 42.7, 'end': '2024-06-03'}]",Lethal Pursuer
98,14.86,"[{'pct': 16.18, 'count': 4254, 'escape_rate': 44.49, 'end': '2025-08-03'}, {'pct': 14.36, 'count': 3349, 'escape_rate': 45.52, 'end': '2025-06-17'}, {'pct': 11.52, 'count': 3345, 'escape_rate': 40.91, 'end': '2025-05-06'}, {'pct': 15.64, 'count': 8175, 'escape_rate': 42.58, 'end': '2025-04-02'}, {'pct': 15.59, 'count': 7402, 'escape_rate': 42.19, 'end': '2025-01-29'}, {'pct': 16.57, 'count': 6201, 'escape_rate': 41.11, 'end': '2024-11-28'}, {'pct': 16.01, 'count': 5729, 'escape_rate': 40.38, 'end': '2024-10-08'}, {'pct': 19.02, 'count': 4945, 'escape_rate': 41.32, 'end': '2024-08-27'}, {'pct': 20.09, 'count': 16077, 'escape_rate': 37.51, 'end': '2024-07-16'}, {'pct': 22.04, 'count': 18614, 'escape_rate': 40.21, 'end': '2024-06-03'}]",Pop Goes the Weasel
81,14.61,"[{'pct': 15.38, 'count': 4042, 'escape_rate': 43.79, 'end': '2025-08-03'}, {'pct': 14.23, 'count': 3318, 'escape_rate': 45.41, 'end': '2025-06-17'}, {'pct': 17.28, 'count': 5017, 'escape_rate': 39.47, 'end': '2025-05-06'}, {'pct': 13.51, 'count': 7061, 'escape_rate': 42.58, 'end': '2025-04-02'}, {'pct': 12.89, 'count': 6122, 'escape_rate': 40.49, 'end': '2025-01-29'}, {'pct': 14.53, 'count': 5437, 'escape_rate': 42.51, 'end': '2024-11-28'}, {'pct': 13.14, 'count': 4700, 'escape_rate': 41.49, 'end': '2024-10-08'}, {'pct': 15.31, 'count': 3981, 'escape_rate': 40.5, 'end': '2024-08-27'}, {'pct': 15.56, 'count': 12451, 'escape_rate': 38.38, 'end': '2024-07-16'}, {'pct': 14.26, 'count': 12039, 'escape_rate': 42.3, 'end': '2024-06-03'}]",Barbecue & Chili
217,13.28,"[{'pct': 13, 'count': 3418, 'escape_rate': 44.03, 'end': '2025-08-03'}, {'pct': 12.27, 'count': 2861, 'escape_rate': 45.3, 'end': '2025-06-17'}, {'pct': 9.55, 'count': 2774, 'escape_rate': 41.15, 'end': '2025-05-06'}, {'pct': 13.46, 'count': 7038, 'escape_rate': 43.04, 'end': '2025-04-02'}, {'pct': 12.82, 'count': 6090, 'escape_rate': 41.82, 'end': '2025-01-29'}, {'pct': 13.46, 'count': 5038, 'escape_rate': 40.95, 'end': '2024-11-28'}, {'pct': 11.44, 'count': 4094, 'escape_rate': 39.96, 'end': '2024-10-08'}, {'pct': 13.15, 'count': 3418, 'escape_rate': 40.05, 'end': '2024-08-27'}, {'pct': 14.51, 'count': 11618, 'escape_rate': 38.66, 'end': '2024-07-16'}, {'pct': 11.79, 'count': 9959, 'escape_rate': 41.45, 'end': '2024-06-03'}]",Nowhere to Hide
114,13.1,"[{'pct': 11.61, 'count': 3051, 'escape_rate': 44.3, 'end': '2025-08-03'}, {'pct': 11.94, 'count': 2784, 'escape_rate': 42.52, 'end': '2025-06-17'}, {'pct': 9.16, 'count': 2659, 'escape_rate': 41.06, 'end': '2025-05-06'}, {'pct': 13.96, 'count': 7298, 'escape_rate': 39.57, 'end': '2025-04-02'}, {'pct': 13.07, 'count': 6208, 'escape_rate': 40.21, 'end': '2025-01-29'}, {'pct': 14.06, 'count': 5263, 'escape_rate': 39.78, 'end': '2024-11-28'}, {'pct': 12.69, 'count': 4540, 'escape_rate': 37.48, 'end': '2024-10-08'}, {'pct': 15.17, 'count': 3945, 'escape_rate': 39.75, 'end': '2024-08-27'}, {'pct': 14.65, 'count': 11725, 'escape_rate': 36.88, 'end': '2024-07-16'}, {'pct': 12.95, 'count': 10938, 'escape_rate': 39.41, 'end': '2024-06-03'}]",Corrupt Intervention
141,12.54,"[{'pct': 11.8, 'count': 3102, 'escape_rate': 43.34, 'end': '2025-08-03'}, {'pct': 9.07, 'count': 2116, 'escape_rate': 44.89, 'end': '2025-06-17'}, {'pct': 6.64, 'count': 1929, 'escape_rate': 41.73, 'end': '2025-05-06'}, {'pct': 8.47, 'count': 4427, 'escape_rate': 39.15, 'end': '2025-04-02'}, {'pct': 7.08, 'count': 3361, 'escape_rate': 41.38, 'end': '2025-01-29'}, {'pct': 5.9, 'count': 2207, 'escape_rate': 42.04, 'end': '2024-11-28'}, {'pct': 3.87, 'count': 1383, 'escape_rate': 42.03, 'end': '2024-10-08'}, {'pct': 4.56, 'count': 1186, 'escape_rate': 43.27, 'end': '2024-08-27'}, {'pct': 4.6, 'count': 3682, 'escape_rate': 38.74, 'end': '2024-07-16'}, {'pct': 4.57, 'count': 3861, 'escape_rate': 43.98, 'end': '2024-06-03'}]",Dead Man’s Switch
128,11.51,"[{'pct': 11.21, 'count': 2948, 'escape_rate': 41.77, 'end': '2025-08-03'}, {'pct': 11.55, 'count': 2693, 'escape_rate': 45.2, 'end': '2025-06-17'}, {'pct': 10.71, 'count': 3109, 'escape_rate': 40.79, 'end': '2025-05-06'}, {'pct': 10.37, 'count': 5422, 'escape_rate': 41.57, 'end': '2025-04-02'}, {'pct': 10.23, 'count': 4860, 'escape_rate': 40.13, 'end': '2025-01-29'}, {'pct': 10.57, 'count': 3955, 'escape_rate': 42.56, 'end': '2024-11-28'}, {'pct': 10.39, 'count': 3716, 'escape_rate': 40.18, 'end': '2024-10-08'}, {'pct': 12.64, 'count': 3287, 'escape_rate': 39.93, 'end': '2024-08-27'}, {'pct': 12.15, 'count': 9722, 'escape_rate': 37.78, 'end': '2024-07-16'}, {'pct': 9.93, 'count': 8381, 'escape_rate': 41.72, 'end': '2024-06-03'}]",Surge
96,11.23,"[{'pct': 10.93, 'count': 2873, 'escape_rate': 44.99, 'end': '2025-08-03'}, {'pct': 11.7, 'count': 2728, 'escape_rate': 44.28, 'end': '2025-06-17'}, {'pct': 12.74, 'count': 3698, 'escape_rate': 40.06, 'end': '2025-05-06'}, {'pct': 10, 'count': 5229, 'escape_rate': 42.06, 'end': '2025-04-02'}, {'pct': 9.6, 'count': 4558, 'escape_rate': 42.3, 'end': '2025-01-29'}, {'pct': 10.01, 'count': 3745, 'escape_rate': 41.33, 'end': '2024-11-28'}, {'pct': 9.58, 'count': 3427, 'escape_rate': 40.9, 'end': '2024-10-08'}, {'pct': 12.01, 'count': 3122, 'escape_rate': 41.18, 'end': '2024-08-27'}, {'pct': 13.19, 'count': 10560, 'escape_rate': 38.24, 'end': '2024-07-16'}, {'pct': 9.99, 'count': 8437, 'escape_rate': 42.17, 'end': '2024-06-03'}]",Bamboozle
189,8.51,"[{'pct': 8.02, 'count': 2107, 'escape_rate': 41.75, 'end': '2025-08-03'}, {'pct': 7.19, 'count': 1676, 'escape_rate': 44, 'end': '2025-06-17'}, {'pct': 6.33, 'count': 1838, 'escape_rate': 38.93, 'end': '2025-05-06'}, {'pct': 9.11, 'count': 4762, 'escape_rate': 39.55, 'end': '2025-04-02'}, {'pct': 8.49, 'count': 4032, 'escape_rate': 39.16, 'end': '2025-01-29'}, {'pct': 9.62, 'count': 3599, 'escape_rate': 38.93, 'end': '2024-11-28'}, {'pct': 7.57, 'count': 2709, 'escape_rate': 36.36, 'end': '2024-10-08'}, {'pct': 8.05, 'count': 2094, 'escape_rate': 39.8, 'end': '2024-08-27'}, {'pct': 9.16, 'count': 7335, 'escape_rate': 35.53, 'end': '2024-07-16'}, {'pct': 7.17, 'count': 6055, 'escape_rate': 39.78, 'end': '2024-06-03'}]",Grim Embrace
